GH,GA,scorer,time,scoring,game,season
1,0,Manu Karagiannis,87,KSV Waregem,KSV Waregem vs. Sporting Lokeren 1:1,1990-1991
1,1,Marko Myyry,90,Sporting Lokeren,KSV Waregem vs. Sporting Lokeren 1:1,1990-1991
1,0,Simon Tahamata,37,KFC Germinal Ekeren,KFC Germinal Ekeren vs. KV Kortrijk 5:1,1990-1991
2,0,Gunther Hofmans,40,KFC Germinal Ekeren,KFC Germinal Ekeren vs. KV Kortrijk 5:1,1990-1991
3,0,Marino Sabbadini,53,KFC Germinal Ekeren,KFC Germinal Ekeren vs. KV Kortrijk 5:1,1990-1991
3,1,Hendrie Krüzen,57,KV Kortrijk,KFC Germinal Ekeren vs. KV Kortrijk 5:1,1990-1991
4,1,Gunther Hofmans,58,KFC Germinal Ekeren,KFC Germinal Ekeren vs. KV Kortrijk 5:1,1990-1991
5,1,Simon Tahamata,63,KFC Germinal Ekeren,KFC Germinal Ekeren vs. KV Kortrijk 5:1,1990-1991
1,0,Ferenc Mészáros,12,Sporting Lokeren,Sporting Lokeren vs. RWD Molenbeek 3:0,1990-1991
2,0,Ferenc Mészáros,30,Sporting Lokeren,Sporting Lokeren vs. RWD Molenbeek 3:0,1990-1991
3,0,Samson Siasia,57,Sporting Lokeren,Sporting Lokeren vs. RWD Molenbeek 3:0,1990-1991
0,1,Marc Schaessens,16,Standard Liège,Sint-Truidense VV vs. Standard Liège 0:1,1990-1991
1,0,Philippe Albert,2,KV Mechelen,KV Mechelen vs. KRC Genk 6:0,1990-1991
2,0,Klas Ingesson,14,KV Mechelen,KV Mechelen vs. KRC Genk 6:0,1990-1991
3,0,Francis Severeyns,25,KV Mechelen,KV Mechelen vs. KRC Genk 6:0,1990-1991
4,0,Bruno Versavel,38,KV Mechelen,KV Mechelen vs. KRC Genk 6:0,1990-1991
5,0,Bruno Versavel,56,KV Mechelen,KV Mechelen vs. KRC Genk 6:0,1990-1991
6,0,René Eijkelkamp,69,KV Mechelen,KV Mechelen vs. KRC Genk 6:0,1990-1991
1,0,Bernard Wégria,36,RFC de Liège,RFC de Liège vs. RSC Charleroi 2:0,1990-1991
2,0,Eddie Krnčević,81,RFC de Liège,RFC de Liège vs. RSC Charleroi 2:0,1990-1991
1,0,Graeme Rutjes,42,RSC Anderlecht,RSC Anderlecht vs. KFC Germinal Ekeren 4:0,1990-1991
2,0,Luc Nilis,48,RSC Anderlecht,RSC Anderlecht vs. KFC Germinal Ekeren 4:0,1990-1991
3,0,Marc Degryse,57,RSC Anderlecht,RSC Anderlecht vs. KFC Germinal Ekeren 4:0,1990-1991
4,0,John van Loen,71,RSC Anderlecht,RSC Anderlecht vs. KFC Germinal Ekeren 4:0,1990-1991
0,1,Kjetil Rekdal,9,Lierse SK,KV Kortrijk vs. Lierse SK 1:2,1990-1991
1,1,Patrick Goots,36,KV Kortrijk,KV Kortrijk vs. Lierse SK 1:2,1990-1991
