GH,GA,scorer,time,scoring,game,season
1,1,Francisco Agatão,83,Estrela Amadora,Estrela Amadora vs. FC Tirsense 1:1,1990-1991
0,1,Careca,13,Sporting CP,Boavista vs. Sporting CP 0:3,1990-1991
0,2,Cadete,39,Sporting CP,Boavista vs. Sporting CP 0:3,1990-1991
0,3,Filipe Ramos,89,Sporting CP,Boavista vs. Sporting CP 0:3,1990-1991
0,1,Domingos Paciência,44,FC Porto,Os Belenenses vs. FC Porto 0:1,1990-1991
0,1,Carlos Manuel,65,União da Madeira,FC Tirsense vs. União da Madeira 0:1,1990-1991
1,0,Careca,90,Sporting CP,Sporting CP vs. Os Belenenses 1:0,1990-1991
1,0,Geraldão,32,FC Porto,FC Porto vs. Estrela Amadora 2:0,1990-1991
2,0,Rabah Madjer,89,FC Porto,FC Porto vs. Estrela Amadora 2:0,1990-1991
0,1,Jovica Nikolić,53,SC Salgueiros,CS Marítimo vs. SC Salgueiros 0:2,1990-1991
0,2,Jovica Nikolić,62,SC Salgueiros,CS Marítimo vs. SC Salgueiros 0:2,1990-1991
NA,NA,NA,NA,NA,Gil Vicente vs. Vitória Guimarães 0:0,1990-1991
1,0,Ademar,78,SC Farense,SC Farense vs. FC Famalicão 1:0,1990-1991
1,0,Manuel Correia,44,GD Chaves,GD Chaves vs. CD Nacional 1:1,1990-1991
1,1,Edmilson,54,CD Nacional,GD Chaves vs. CD Nacional 1:1,1990-1991
0,1,Stoicho Mladenov,12,Vitória Setúbal,Sporting Braga vs. Vitória Setúbal 2:3,1990-1991
0,2,Hélio Sousa,32,Vitória Setúbal,Sporting Braga vs. Vitória Setúbal 2:3,1990-1991
1,2,Vinícius,52,Sporting Braga,Sporting Braga vs. Vitória Setúbal 2:3,1990-1991
2,2,Dito,58,Sporting Braga,Sporting Braga vs. Vitória Setúbal 2:3,1990-1991
2,3,Sobrinho,70,Vitória Setúbal,Sporting Braga vs. Vitória Setúbal 2:3,1990-1991
1,0,Rui Águas,2,SL Benfica,SL Benfica vs. Boavista 1:1,1990-1991
1,1,Phil Walker,19,Boavista,SL Benfica vs. Boavista 1:1,1990-1991
1,0,Nikola Spasov,48,SC Beira-Mar,SC Beira-Mar vs. FC Penafiel 3:0,1990-1991
2,0,Nikola Spasov,70,SC Beira-Mar,SC Beira-Mar vs. FC Penafiel 3:0,1990-1991
3,0,Jorge Silvério,90,SC Beira-Mar,SC Beira-Mar vs. FC Penafiel 3:0,1990-1991
0,1,Coelho,47,GD Chaves,Vitória Setúbal vs. GD Chaves 1:1,1990-1991
1,1,Serra,67,Vitória Setúbal,Vitória Setúbal vs. GD Chaves 1:1,1990-1991
1,0,José Soeiro,60,Vitória Guimarães,Vitória Guimarães vs. SC Farense 2:0,1990-1991
2,0,Chiquinho,90,Vitória Guimarães,Vitória Guimarães vs. SC Farense 2:0,1990-1991
0,1,Kiki,14,FC Porto,União da Madeira vs. FC Porto 1:3,1990-1991
0,2,Branco,27,FC Porto,União da Madeira vs. FC Porto 1:3,1990-1991
0,3,Branco,30,FC Porto,União da Madeira vs. FC Porto 1:3,1990-1991
1,3,Dragan Markovic,32,União da Madeira,União da Madeira vs. FC Porto 1:3,1990-1991
1,0,Álvaro Soares,13,SC Salgueiros,SC Salgueiros vs. SC Beira-Mar 2:1,1990-1991
1,1,Penteado,76,SC Beira-Mar,SC Salgueiros vs. SC Beira-Mar 2:1,1990-1991
2,1,Manuel Monteiro,85,SC Salgueiros,SC Salgueiros vs. SC Beira-Mar 2:1,1990-1991
0,1,Zé Carlos,48,Gil Vicente,FC Penafiel vs. Gil Vicente 0:2,1990-1991
0,2,Folha,87,Gil Vicente,FC Penafiel vs. Gil Vicente 0:2,1990-1991
NA,NA,NA,NA,NA,CD Nacional vs. FC Tirsense 0:0,1990-1991
1,0,Djamel Menad,14,FC Famalicão,FC Famalicão vs. Sporting Braga 4:1,1990-1991
2,0,Cacioli,33,FC Famalicão,FC Famalicão vs. Sporting Braga 4:1,1990-1991
3,0,Cacioli,58,FC Famalicão,FC Famalicão vs. Sporting Braga 4:1,1990-1991
4,0,Porfírio Amorim,70,FC Famalicão,FC Famalicão vs. Sporting Braga 4:1,1990-1991
4,1,Vinícius,82,Sporting Braga,FC Famalicão vs. Sporting Braga 4:1,1990-1991
0,1,Cadete,24,Sporting CP,Estrela Amadora vs. Sporting CP 1:2,1990-1991
1,1,Valério,74,Estrela Amadora,Estrela Amadora vs. Sporting CP 1:2,1990-1991
1,2,Leal,82,Sporting CP,Estrela Amadora vs. Sporting CP 1:2,1990-1991
1,0,Jorge Andrade,22,Boavista,Boavista vs. CS Marítimo 1:0,1990-1991
0,1,Ricardo Gomes,18,SL Benfica,Os Belenenses vs. SL Benfica 0:2,1990-1991
0,2,Rui Águas,53,SL Benfica,Os Belenenses vs. SL Benfica 0:2,1990-1991
1,0,Ziad Tlemcani,37,Vitória Guimarães,Vitória Guimarães vs. FC Penafiel 3:0,1990-1991
2,0,Chiquinho,67,Vitória Guimarães,Vitória Guimarães vs. FC Penafiel 3:0,1990-1991
3,0,João Baptista,74,Vitória Guimarães,Vitória Guimarães vs. FC Penafiel 3:0,1990-1991
1,0,Lay,39,FC Tirsense,FC Tirsense vs. Vitória Setúbal 1:1,1990-1991
1,1,Amâncio Mereiles,87,Vitória Setúbal,FC Tirsense vs. Vitória Setúbal 1:1,1990-1991
1,0,Fernando Gomes,45,Sporting CP,Sporting CP vs. União da Madeira 2:0,1990-1991
2,0,Fernando Gomes,67,Sporting CP,Sporting CP vs. União da Madeira 2:0,1990-1991
1,0,Domingos Paciência,7,FC Porto,FC Porto vs. CD Nacional 1:2,1990-1991
1,1,Heitor,39,CD Nacional,FC Porto vs. CD Nacional 1:2,1990-1991
1,2,Paulo Sérgio,57,CD Nacional,FC Porto vs. CD Nacional 1:2,1990-1991
1,0,Peter Hinds,80,CS Marítimo,CS Marítimo vs. Os Belenenses 1:0,1990-1991
NA,NA,NA,NA,NA,Gil Vicente vs. SC Salgueiros 0:0,1990-1991
NA,NA,NA,NA,NA,SC Farense vs. Sporting Braga 0:0,1990-1991
1,0,Tihomir Rudež,12,GD Chaves,GD Chaves vs. FC Famalicão 3:1,1990-1991
